Target_label,Version_code,Apk_size,Nlib,min_sdk,targ_sdk,Nperm,Ndang,Nnorm,Ncust,Nact,Nserv,Nintent,delay_last_release,release_time,note_length,chang_perc_note,Apk_size_changed,diff_Apk_size,Nlib_changed,diff_Nlib,min_sdk_changed,diff_min_sdk,targ_sdk_changed,diff_target_sdk,Nperm_changed,diff_Nperm,Ndang_changed,diff_Ndang,Nnorm_changed,diff_Nnorm,Ncust_changed,diff_Ncust,Nact_changed,diff_Nact,Nserv_changed,diff_Nserv,Nintent_changed,diff_Nintent,chang_perc_Apk_size,chang_perc_Nlib,chang_perc_min_sdk,chang_perc_targ_sdk,chang_perc_Nperm,chang_perc_Ndang,chang_perc_Nnorm,chang_perc_Ncust,chang_perc_Nact,chang_perc_Nserv,chang_perc_Nintent,hist_rating,hist_perc_neg_rating,last_rating,last_perc_neg_rating,prev_release_res,app_recent_rate_bad,app_hist_rate_bad,Negativity_ratio
2,258000003,50.38228,2,15,23,12,3,5,3,5,2,7,11,10,19,5.2632,1,0.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,4.3828,5.0409,4.4001,4.4422,1,0,0.22,1.0261
2,259000013,50.5267,2,15,23,12,3,5,3,5,2,7,11,1,19,5.2632,1,-0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0063,0,0,0,0,0,0,0,0,0,0,4.3834,5.0113,4.4006,0,2,0,0.21,0.9477
2,259000033,50.52666,2,15,23,12,3,5,3,5,2,7,10.5,5,19,5.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0,0,0,0,0,0,0,0,0,0,4.3838,5.0112,4.401,4.8408,2,0,0.21,1.0197
3,260000003,50.62237,2,15,23,12,3,5,3,5,2,7,10,7,19,5.2632,1,0.0957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1894,0,0,0,0,0,0,0,0,0,0,4.3843,5.0113,4.4013,5.209,2,0,0.21,1.1939
3,260000013,50.60727,2,15,23,12,3,5,3,5,2,7,10,7,19,5.2632,1,-0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298,0,0,0,0,0,0,0,0,0,0,4.3847,5.0409,4.4018,6.1485,3,0.21,0.22,1.3155
3,261000003,50.74406,2,15,23,24,3,5,15,5,2,7,10,7,19,5.2632,1,0.1368,0,0,0,0,0,0,1,12,0,0,0,0,1,12,0,0,0,0,0,0,0.2703,0,0,0,100,0,0,400,0,0,0,4.3851,5.0705,4.4022,6.788,3,0.41,0.24,1.2928
1,261000023,50.74871,2,15,23,24,3,5,15,5,2,7,10,4,19,5.2632,1,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0,0,0,0,0,0,0,0,0,0,4.3858,5.1124,4.4022,6.6922,3,0.61,0.25,0.8063
1,261000033,50.74486,2,15,23,24,3,5,15,5,2,7,10,3,19,5.2632,1,-0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0076,0,0,0,0,0,0,0,0,0,0,4.3864,5.0705,4.4025,4.1741,1,0.61,0.25,0.5066
2,262000003,50.79387,2,15,23,24,3,5,15,5,2,7,10,5,19,5.2632,1,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966,0,0,0,0,0,0,0,0,0,0,4.387,5.0409,4.4031,2.6142,1,0.61,0.24,1.1143
2,263000003,51.18064,2,15,23,24,3,5,15,5,2,7,10,15,19,5.2632,1,0.3868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7615,0,0,0,0,0,0,0,0,0,0,4.3875,5.0705,4.404,5.7499,2,0.41,0.24,0.9599
2,264000003,51.99026,2,15,23,24,3,5,15,5,2,7,10,15,19,5.2632,1,0.8096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5819,0,0,0,0,0,0,0,0,0,0,4.3879,5.0409,4.4049,4.9689,2,0.21,0.24,1.0058
2,264000023,52.04728,2,15,23,24,3,5,15,5,2,7,10,1,19,5.2632,1,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,4.3889,5.0409,4.405,0,2,0,0.23,0.9142
1,265000013,51.94155,2,15,23,24,3,5,15,5,2,7,10,9,19,5.2632,1,-0.1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2031,0,0,0,0,0,0,0,0,0,0,4.3896,5.0113,4.406,4.7173,2,0,0.23,0.7537
2,265000033,51.94166,2,15,23,24,3,5,15,5,2,7,9.5,4,19,5.2632,1,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,4.3898,5.0112,4.4063,3.8818,1,0,0.22,0.9269
2,266000003,51.81904,2,15,23,24,3,5,15,5,2,7,10,13,19,5.2632,1,-0.1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2361,0,0,0,0,0,0,0,0,0,0,4.3899,5.0111,4.4071,4.7348,2,0,0.22,0.9417
2,266000023,51.8192,2,15,23,24,3,5,15,5,2,7,9.5,2,19,5.2632,1,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,4.3902,4.9937,4.4072,4.8101,2,0,0.22,1.0554
2,267000003,29.62602,2,15,23,24,3,5,15,5,2,7,9,8,1,5.2632,1,-22.1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.8281,0,0,0,0,0,0,0,0,0,0,4.3905,5.0111,4.4079,5.3911,2,0,0.21,1.0505
2,267000013,29.62612,2,15,23,24,3,5,15,5,2,7,8.5,7,19,1900,1,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,4.3909,5.0112,4.4082,5.3965,2,0,0.21,1.0558
1,268000003,52.09393,2,15,24,24,3,5,15,5,2,7,8,7,19,5.2632,1,22.4678,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8378,0,0,4.3478,0,0,0,0,0,0,0,4.3914,5.0113,4.409,5.4236,2,0,0.21,0.7243
1,268000013,52.09705,2,15,24,24,3,5,15,5,2,7,8,8,19,5.2632,1,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,4.3917,5.0112,4.4094,3.7206,1,0,0.2,0.7525
3,268000023,52.09787,2,15,24,24,3,5,15,5,2,7,8,4,19,5.2632,1,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,4.392,5.0111,4.4098,3.8373,1,0,0.2,1.437
2,269000003,52.12708,2,15,24,24,3,5,15,5,2,7,8,2,1,5.2632,1,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561,0,0,0,0,0,0,0,0,0,0,4.392,5.0112,4.4102,7.3276,3,0.21,0.21,0.9098
3,269000013,52.1285,2,15,24,24,3,5,15,5,2,7,8,5,19,1900,1,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,4.3921,5.0111,4.4103,4.6718,2,0.21,0.21,1.1804
2,270000003,52.32489,2,15,24,24,3,5,15,5,2,7,8,10,1,5.2632,1,0.1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3767,0,0,0,0,0,0,0,0,0,0,4.3926,5.0112,4.411,6.0612,3,0.41,0.22,0.8914
3,270000013,52.32406,2,15,24,24,3,5,15,5,2,7,8,8,19,1900,1,-0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016,0,0,0,0,0,0,0,0,0,0,4.393,5.0111,4.4116,4.5775,2,0.41,0.22,1.1956
2,276000013,33.7513,2,15,24,24,3,5,15,5,2,7,8,79,19,5.2632,1,-18.5728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.4956,0,0,0,0,0,0,0,0,0,0,4.3934,5.0112,4.4121,6.1393,3,0.61,0.23,1.0903
1,276000023,33.75151,2,15,24,24,3,5,15,5,2,7,8,4,19,5.2632,1,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,4.3938,5.0113,4.4159,5.608,2,0.41,0.23,0.809
1,277000003,33.9167,2,15,24,24,3,5,15,5,2,7,8,5,19,5.2632,1,0.1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4895,0,0,0,0,0,0,0,0,0,0,4.394,5.0112,4.4167,4.1611,1,0.41,0.22,0.4471
1,277000013,33.91681,2,15,24,24,3,5,15,5,2,7,8,6,19,5.2632,1,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,4.3943,5.0111,4.4168,2.3053,1,0.21,0.22,0.6301
1,278000003,33.92109,2,15,24,24,3,5,15,5,2,7,8,9,19,5.2632,1,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0,0,0,0,0,0,0,0,0,0,4.3948,4.9937,4.4179,3.2133,1,0.21,0.22,0.7902
3,278000013,33.94012,2,15,24,24,3,5,15,5,2,7,8,8,1,5.2632,1,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561,0,0,0,0,0,0,0,0,0,0,4.3954,4.9763,4.4182,4.0295,1,0,0.21,1.7124
3,279000013,34.36284,2,15,24,24,3,5,15,5,2,7,8,11,1,100,1,0.4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2455,0,0,0,0,0,0,0,0,0,0,4.3958,4.9937,4.4182,8.7322,3,0.21,0.22,1.8586
3,279000023,34.36386,2,15,24,24,3,5,15,5,2,7,8,6,19,1900,1,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,4.3963,5.0111,4.4181,9.5439,3,0.41,0.23,1.1826
2,280000023,34.51339,2,15,24,24,3,5,15,5,2,7,8,7,1,5.2632,1,0.1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4351,0,0,0,0,0,0,0,0,0,0,4.3964,5.0112,4.4184,6.0829,3,0.61,0.24,1.0005
2,280000033,34.51344,2,15,24,24,3,5,15,5,2,7,8,4,19,1900,1,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,4.3966,5.0113,4.4186,5.1463,2,0.61,0.24,0.9039
3,281000003,34.6209,2,15,24,24,3,5,15,5,2,7,7.5,6,19,5.2632,1,0.1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3113,0,0,0,0,0,0,0,0,0,0,4.3971,5.0112,4.4192,4.6494,2,0.61,0.24,1.1393
2,281000013,34.62152,2,15,24,24,3,5,15,5,2,7,7,5,19,5.2632,1,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,4.3976,5.0113,4.4193,5.8502,3,0.61,0.25,1.0869
3,281000023,34.62196,2,15,24,24,3,5,15,5,2,7,7,3,19,5.2632,1,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,4.398,5.0409,4.4195,5.5906,2,0.41,0.25,1.2045
1,282000003,35.11878,2,15,24,24,3,5,15,5,2,7,7,7,19,5.2632,1,0.4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.435,0,0,0,0,0,0,0,0,0,0,4.3983,5.0705,4.4199,6.1985,3,0.41,0.25,0.8381
